结算时间,订单号,子订单号,结算金额,结算账户,结算单类型,有结算前退款,下单时间,商品ID,商品数量,业务类型,订单类型,订单总价,商品总价,运费,店铺劵,结算前退款金额,平台补贴,达人补贴,抖音支付补贴,抖音月付营销补贴,用户实付,收入合计,平台服务费,佣金,渠道分成,招商服务费,直播间站外推广,其他分成,其他分成说明,支出合计,备注
 , , ,收入+支出, , , , , , , , ,商品总价+运费, , , ,退给用户的货款+运费+退补贴, , , , , ,用户实付+平台补贴+达人补贴+抖音支付补贴+抖音月付补贴,'-(用户实付+平台补贴+达人补贴)*费率,'-(用户实付-运费+平台补贴+达人补贴+抖音支付补贴+抖音月付补贴)*费率, , , ,除“佣金、渠道分成、招商服务费、直播间站外推广”等账单中已分列展示之外的分成项目, ,平台服务费+达人佣金+渠道分成+招商服务费+直播站外推广+其他分成, 
2022-09-15 15:01:51,'4971833453020169631,'4971833453020169631,75.05,聚合账户,已结算,否,2022-08-28 20:40:59,'3567311147667476477,1,小店自卖,普通订单,79,79,0,0,0,0,0,0.02,0,78.98,79,-3.95,0,0,0,0,0,,-3.95,
2022-09-15 15:01:33,'4969943929375442111,'4969943929375442111,75.05,聚合账户,已结算,否,2022-08-23 18:36:39,'3562664607233513924,1,小店自卖,普通订单,79,79,0,0,0,0,0,0,0,79,79,-3.95,0,0,0,0,0,,-3.95,
2022-09-15 18:50:15,'4973656769692098371,'4973656769692098371,132.05,聚合账户,已结算,否,2022-09-02 18:42:41,'3568637652754402212,1,鲁班广告,普通订单,139,139,0,0,0,0,0,0.02,0,138.98,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-15 18:50:11,'4974040035392791683,'4974040035392791683,132.05,聚合账户,已结算,否,2022-09-03 19:27:46,'3568637652754402212,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0.03,138.97,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-15 18:50:03,'4975133757415525487,'4975133757415525487,132.05,聚合账户,已结算,否,2022-09-06 18:10:08,'3568637652754402212,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-15 18:49:02,'4973277807558715139,'4973277807558715139,132.05,聚合账户,已结算,否,2022-09-01 18:10:03,'3568637652754402212,1,小店自卖,普通订单,139,139,0,0,0,0,0,1.2,0,137.8,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-15 18:49:02,'4973291560032787482,'4973291560032787482,132.05,聚合账户,已结算,否,2022-09-01 19:02:28,'3568637652754402212,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-15 18:49:01,'4973292951617455434,'4973292951617455434,132.05,聚合账户,已结算,否,2022-09-01 19:07:16,'3568637652754402212,1,小店自卖,普通订单,139,139,0,0,0,0,0,0,0,139,139,-6.95,0,0,0,0,0,,-6.95,
2022-09-15 18:48:45,'4973297942350945539,'4973297942350945539,160.55,聚合账户,已结算,否,2022-09-01 19:28:27,'3565638794885595215,1,精选联盟,普通订单,169,169,0,0,0,0,0,0.01,0,168.99,169,-8.45,0,0,0,0,0,,-8.45,
2022-09-15 18:48:44,'4973297942350945539,'4973297942351076611,132.05,聚合账户,已结算,否,2022-09-01 19:28:27,'3569008596186456509,1,小店自卖,普通订单,139,139,0,0,0,0,0,0.01,0,138.99,139,-6.95,0,0,0,0,0,,-6.95,
