订单号,子订单号,下单时间,订单收入(元),订单支出(元),订单净收益(元),结算状态,结算时间,业务类型,结算账户,订单类型,商品id,商品数量,订单总价(元),运费实付(元),商品总价(元),店铺券(元),订单实付(元),订单实付应结(元),平台补贴_运费(元),平台补贴(元),达人补贴(元),抖音支付补贴(元),抖音月付营销补贴(元),实际平台补贴_运费(元),实际平台补贴(元),实际达人补贴(元),实际抖音支付补贴(元),实际抖音月付营销补贴(元),实际补贴金额(元),订单退款(元),结算前退款(元),平台服务费(元),佣金(元),渠道分成(元),招商服务费(元),直播间站外推广(元),其他分成,退款扣佣金(元),备注
'4973293896491812027,'4973293896491812027,2022/9/1 19:14,139,6.95,132.05,已结算,2022/9/14 18:41,鲁班广告,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.96,138.96,0,0,0,0,0.04,0,0,0,0,0.04,0.04,0,0,-6.95,0,0,0,0,0,0,
'4973293930857772182,'4973293930857772182,2022/9/1 19:14,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973294098356623099,'4973294098356623099,2022/9/1 19:14,139,6.95,132.05,已结算,2022/9/12 4:30,鲁班广告,微信,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973294201452340255,'4973294201452340255,2022/9/1 19:14,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973293462705657316,'4973293462705657316,2022/9/1 19:12,69,3.45,65.55,已结算,2022/9/8 3:45,小店自卖,微信,普通订单,'3568431661827946174,1,69,0,69,0,69,69,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.45,0,0,0,0,0,0,
'4973293007437800887,'4973293007437800887,2022/9/1 19:10,69,3.45,65.55,已结算,2022/9/13 18:14,鲁班广告,聚合账户,普通订单,'3568431661827946174,1,69,0,69,0,66,66,0,3,0,0,0,0,3,0,0,0,3,0,0,-3.45,0,0,0,0,0,0,
'4973292839932413477,'4973292839932413477,2022/9/1 19:09,139,6.95,132.05,已结算,2022/9/14 18:41,鲁班广告,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973292676733185589,'4973292676733185589,2022/9/1 19:09,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973292951617455434,'4973292951617455434,2022/9/1 19:07,139,6.95,132.05,已结算,2022/9/15 18:49,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973292625189475611,'4973292625189475611,2022/9/1 19:07,139,6.95,132.05,已结算,2022/9/14 4:34,鲁班广告,微信,普通订单,'3568637652754402212,1,139,0,139,0,136,136,0,3,0,0,0,0,3,0,0,0,3,0,0,-6.95,0,0,0,0,0,0,
'4973292655247433469,'4973292655247433469,2022/9/1 19:06,139,6.95,132.05,已结算,2022/9/14 4:36,小店自卖,微信,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973292466268280469,'4973292466268280469,2022/9/1 19:06,139,6.95,132.05,已结算,2022/9/21 0:23,鲁班广告,微信,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973291366761176797,'4973291366761176797,2022/9/1 19:03,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973291487024100704,'4973291487024100704,2022/9/1 19:02,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.98,138.98,0,0,0,0.02,0,0,0,0,0.02,0,0.02,0,0,-6.95,0,0,0,0,0,0,
'4973291560032787482,'4973291560032787482,2022/9/1 19:02,139,6.95,132.05,已结算,2022/9/15 18:49,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973291976657880399,'4973291976657880399,2022/9/1 19:02,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973291160613270539,'4973291160613270539,2022/9/1 19:02,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973291435491378843,'4973291435491378843,2022/9/1 19:02,139,6.95,132.05,已结算,2022/9/12 18:34,鲁班广告,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.97,138.97,0,0,0,0,0.03,0,0,0,0,0.03,0.03,0,0,-6.95,0,0,0,0,0,0,
'4973291169190745286,'4973291169190745286,2022/9/1 19:02,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973291070409221369,'4973291070409221369,2022/9/1 19:02,139,6.95,132.05,已结算,2022/9/14 18:41,鲁班广告,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.95,138.95,0,0,0,0,0.05,0,0,0,0,0.05,0.05,0,0,-6.95,0,0,0,0,0,0,
'4973291512810184576,'4973291512810184576,2022/9/1 19:02,139,6.95,132.05,已结算,2022/9/19 21:57,鲁班广告,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,137.8,137.8,0,0,0,1.2,0,0,0,0,1.2,0,1.2,0,0,-6.95,0,0,0,0,0,0,
'4973290559310143249,'4973290559310143249,2022/9/1 19:00,69,3.45,65.55,已结算,2022/9/13 18:14,小店自卖,聚合账户,普通订单,'3568431661827946174,1,69,0,69,0,68.97,68.97,0,0,0,0.03,0,0,0,0,0.03,0,0.03,0,0,-3.45,0,0,0,0,0,0,
'4973307167941365168,'4973307167941365168,2022/9/1 20:01,139,6.95,132.05,已结算,2022/9/15 18:48,鲁班广告,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.97,138.97,0,0,0,0,0.03,0,0,0,0,0.03,0.03,0,0,-6.95,0,0,0,0,0,0,
'4973306643958044480,'4973306643958044480,2022/9/1 20:01,139,6.95,132.05,已结算,2022/9/13 18:13,鲁班广告,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138,138,0,0,0,0,1,0,0,0,0,1,1,0,0,-6.95,0,0,0,0,0,0,
'4973306648264414425,'4973306648264414425,2022/9/1 20:00,6.95,139,-132.05,已退款(原账户),2022/9/25 3:00,小店自卖,聚合账户,普通订单,'3568637652754402212,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-139,0,6.95,0,0,0,0,0,0,
'4973306648264414425,'4973306648264414425,2022/9/1 20:00,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973404702775362613,'4973404702775362613,2022/9/2 2:30,79,3.95,75.05,已结算,2022/9/14 18:42,精选联盟,聚合账户,普通订单,'3566195813422076555,1,79,0,79,0,78.99,78.99,0,0,0,0,0.01,0,0,0,0,0.01,0.01,0,0,-3.95,0,0,0,0,0,0,
'4973660922927948980,'4973660922927948980,2022/9/2 18:59,69,3.45,65.55,已结算,2022/9/14 16:09,小店自卖,聚合账户,普通订单,'3568431661827946174,1,69,0,69,0,68,68,0,0,0,0,1,0,0,0,0,1,1,0,0,-3.45,0,0,0,0,0,0,
'4973660622279499130,'4973660622279499130,2022/9/2 18:57,139,6.95,132.05,已结算,2022/9/19 21:57,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.96,138.96,0,0,0,0,0.04,0,0,0,0,0.04,0.04,0,0,-6.95,0,0,0,0,0,0,
'4973659827721708871,'4973659827721708871,2022/9/2 18:54,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,136,136,0,3,0,0,0,0,3,0,0,0,3,0,0,-6.95,0,0,0,0,0,0,
'4973659565713239557,'4973659565713239557,2022/9/2 18:51,139,6.95,132.05,已结算,2022/9/13 21:28,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973659428287808791,'4973659428287808791,2022/9/2 18:51,139,6.95,132.05,已结算,2022/9/14 1:25,鲁班广告,微信,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973659647352243700,'4973659647352243700,2022/9/2 18:51,139,6.95,132.05,已结算,2022/9/14 18:41,鲁班广告,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973658006645176008,'4973658006645176008,2022/9/2 18:44,139,6.95,132.05,已结算,2022/9/14 18:26,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973656769692098371,'4973656769692098371,2022/9/2 18:42,139,6.95,132.05,已结算,2022/9/15 18:50,鲁班广告,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.98,138.98,0,0,0,0.02,0,0,0,0,0.02,0,0.02,0,0,-6.95,0,0,0,0,0,0,
'4973656537764146478,'4973656537764146478,2022/9/2 18:41,139,6.95,132.05,已结算,2022/9/19 17:36,鲁班广告,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.98,138.98,0,0,0,0.02,0,0,0,0,0.02,0,0.02,0,0,-6.95,0,0,0,0,0,0,
'4973656426100666228,'4973656426100666228,2022/9/2 18:40,139,6.95,132.05,已结算,2022/9/14 18:41,鲁班广告,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973657280796282383,'4973657280796282383,2022/9/2 18:40,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973655996599016497,'4973655996599016497,2022/9/2 18:39,69,3.45,65.55,已结算,2022/9/29 23:35,鲁班广告,聚合账户,普通订单,'3568431661827946174,1,69,0,69,0,68.99,68.99,0,0,0,0,0.01,0,0,0,0,0.01,0.01,0,0,-3.45,0,0,0,0,0,0,
'4973656172702162079,'4973656172702162079,2022/9/2 18:38,6.95,139,-132.05,已退款(原账户),2022/9/14 13:12,小店自卖,微信,普通订单,'3568637652754402212,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-139,0,6.95,0,0,0,0,0,0,
'4973656172702162079,'4973656172702162079,2022/9/2 18:38,139,6.95,132.05,已结算,2022/9/11 3:48,小店自卖,微信,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973655056007574938,'4973655056007574938,2022/9/2 18:35,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973654849870074950,'4973654849870074950,2022/9/2 18:35,139,6.95,132.05,已结算,2022/9/14 4:36,小店自卖,微信,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973654948630142016,'4973654948630142016,2022/9/2 18:35,139,6.95,132.05,已结算,2022/9/14 1:24,小店自卖,微信,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973655300827178616,'4973655300827178616,2022/9/2 18:34,139,6.95,132.05,已结算,2022/9/14 4:36,小店自卖,微信,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973653441095443536,'4973653441095443536,2022/9/2 18:27,139,6.95,132.05,已结算,2022/9/12 18:34,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973652496197336340,'4973652496197336340,2022/9/2 18:23,6.95,139,-132.05,已退款(原账户),2022/9/16 17:48,小店自卖,聚合账户,普通订单,'3568637652754402212,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-139,0,6.95,0,0,0,0,0,0,
'4973652496197336340,'4973652496197336340,2022/9/2 18:23,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973652105364223617,'4973652105364223617,2022/9/2 18:22,6.95,139,-132.05,已退款(原账户),2022/9/23 17:19,小店自卖,微信,普通订单,'3568637652754402212,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-139,0,6.95,0,0,0,0,0,0,
'4973652105364223617,'4973652105364223617,2022/9/2 18:22,139,6.95,132.05,已结算,2022/9/14 4:36,小店自卖,微信,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973652113948782205,'4973652113948782205,2022/9/2 18:21,139,6.95,132.05,已结算,2022/9/19 17:36,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973652040946613832,'4973652040946613832,2022/9/2 18:21,69,3.45,65.55,已结算,2022/9/24 16:15,小店自卖,聚合账户,普通订单,'3568431661827946174,1,69,0,69,0,69,69,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.45,0,0,0,0,0,0,
'4973651302212540280,'4973651302212540280,2022/9/2 18:15,139,6.95,132.05,已结算,2022/9/19 17:36,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973649378065990831,'4973649378065990831,2022/9/2 18:11,139,6.95,132.05,已结算,2022/9/13 7:10,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.88,138.88,0,0,0,0.12,0,0,0,0,0.12,0,0.12,0,0,-6.95,0,0,0,0,0,0,
'4973649670123265520,'4973649670123265520,2022/9/2 18:11,69,3.45,65.55,已结算,2022/9/13 21:28,小店自卖,聚合账户,普通订单,'3568431661827946174,1,69,0,69,0,69,69,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.45,0,0,0,0,0,0,
'4973648519063575917,'4973648519063575917,2022/9/2 18:07,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.95,138.95,0,0,0,0,0.05,0,0,0,0,0.05,0.05,0,0,-6.95,0,0,0,0,0,0,
'4973664350310821149,'4973664350310821149,2022/9/2 19:09,139,6.95,132.05,已结算,2022/9/14 18:41,鲁班广告,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.5,138.5,0,0,0,0.5,0,0,0,0,0.5,0,0.5,0,0,-6.95,0,0,0,0,0,0,
'4973664818461623660,'4973664818461623660,2022/9/2 19:09,139,6.95,132.05,已结算,2022/9/13 18:14,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138,138,0,0,0,1,0,0,0,0,1,0,1,0,0,-6.95,0,0,0,0,0,0,
'4973664315970741886,'4973664315970741886,2022/9/2 19:09,139,6.95,132.05,已结算,2022/9/14 1:24,鲁班广告,微信,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973664801278264847,'4973664801278264847,2022/9/2 19:09,139,6.95,132.05,已结算,2022/9/19 17:36,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973664139853231631,'4973664139853231631,2022/9/2 19:06,69,3.45,65.55,已结算,2022/9/14 16:09,小店自卖,聚合账户,普通订单,'3568431661827946174,1,69,0,69,0,69,69,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.45,0,0,0,0,0,0,
'4973663886451500391,'4973663886451500391,2022/9/2 19:05,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973663379651884194,'4973663379651884194,2022/9/2 19:04,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973662327381089921,'4973662327381089921,2022/9/2 19:02,139,6.95,132.05,已结算,2022/9/14 18:41,鲁班广告,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973662361739447857,'4973662361739447857,2022/9/2 19:01,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.92,138.92,0,0,0,0,0.08,0,0,0,0,0.08,0.08,0,0,-6.95,0,0,0,0,0,0,
'4973979300290084407,'4973979300290084407,2022/9/3 15:30,69,3.45,65.55,已结算,2022/9/16 18:41,小店自卖,聚合账户,普通订单,'3562792515713237221,1,666,0,666,0,69,69,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.45,0,0,0,0,0,0,
'4974032154132405909,'4974032154132405909,2022/9/3 18:57,139,6.95,132.05,已结算,2022/9/19 21:57,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4974032398950210847,'4974032398950210847,2022/9/3 18:57,139,6.95,132.05,已结算,2022/9/24 21:42,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4974031750402221576,'4974031750402221576,2022/9/3 18:56,69,3.45,65.55,已结算,2022/9/10 12:37,小店自卖,聚合账户,普通订单,'3568431661827946174,1,69,0,69,0,69,69,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.45,0,0,0,0,0,0,
'4974032093999607653,'4974032093999607653,2022/9/3 18:56,139,6.95,132.05,已结算,2022/9/19 21:57,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.92,138.92,0,0,0,0.08,0,0,0,0,0.08,0,0.08,0,0,-6.95,0,0,0,0,0,0,
'4974032029580377789,'4974032029580377789,2022/9/3 18:56,139,6.95,132.05,已结算,2022/9/19 21:57,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.92,138.92,0,0,0,0,0.08,0,0,0,0,0.08,0.08,0,0,-6.95,0,0,0,0,0,0,
'4974031492721206975,'4974031492721206975,2022/9/3 18:53,139,6.95,132.05,已结算,2022/9/17 14:55,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4974031200650604441,'4974031200650604441,2022/9/3 18:52,139,6.95,132.05,已结算,2022/9/19 1:04,小店自卖,微信,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4974030745391122011,'4974030745391122011,2022/9/3 18:51,139,6.95,132.05,已结算,2022/9/19 21:57,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.98,138.98,0,0,0,0.02,0,0,0,0,0.02,0,0.02,0,0,-6.95,0,0,0,0,0,0,
'4974030410391215624,'4974030410391215624,2022/9/3 18:51,139,6.95,132.05,已结算,2022/9/15 5:01,小店自卖,微信,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4974030784032521664,'4974030784032521664,2022/9/3 18:51,139,6.95,132.05,已结算,2022/9/19 1:07,小店自卖,微信,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4974031015961542256,'4974031015961542256,2022/9/3 18:50,139,6.95,132.05,已结算,2022/9/17 18:28,鲁班广告,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.92,138.92,0,0,0,0.08,0,0,0,0,0.08,0,0.08,0,0,-6.95,0,0,0,0,0,0,
'4974029585749178293,'4974029585749178293,2022/9/3 18:46,139,6.95,132.05,已结算,2022/9/19 21:57,鲁班广告,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.5,138.5,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,-6.95,0,0,0,0,0,0,
'4974029087519610670,'4974029087519610670,2022/9/3 18:45,139,6.95,132.05,已结算,2022/9/19 21:57,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4974028962978368895,'4974028962978368895,2022/9/3 18:45,139,6.95,132.05,已结算,2022/9/19 21:57,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.91,138.91,0,0,0,0.09,0,0,0,0,0.09,0,0.09,0,0,-6.95,0,0,0,0,0,0,
'4974028838414810144,'4974028838414810144,2022/9/3 18:45,139,6.95,132.05,已结算,2022/9/19 21:57,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4974028889961253995,'4974028889961253995,2022/9/3 18:45,139,6.95,132.05,已结算,2022/9/19 21:57,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.98,138.98,0,0,0,0.02,0,0,0,0,0.02,0,0.02,0,0,-6.95,0,0,0,0,0,0,
'4974028718165802621,'4974028718165802621,2022/9/3 18:43,69,3.45,65.55,已结算,2022/9/15 15:02,小店自卖,聚合账户,普通订单,'3568431661827946174,1,69,0,69,0,68.99,68.99,0,0,0,0,0.01,0,0,0,0,0.01,0.01,0,0,-3.45,0,0,0,0,0,0,
'4974028567833712391,'4974028567833712391,2022/9/3 18:42,139,6.95,132.05,已结算,2022/9/26 0:14,小店自卖,微信,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4974028232830142186,'4974028232830142186,2022/9/3 18:42,139,6.95,132.05,已结算,2022/9/19 21:57,鲁班广告,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4974028086795378044,'4974028086795378044,2022/9/3 18:42,139,6.95,132.05,已结算,2022/9/19 21:57,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.5,138.5,0,0,0,0.5,0,0,0,0,0.5,0,0.5,0,0,-6.95,0,0,0,0,0,0,
'4974027416776949480,'4974027416776949480,2022/9/3 18:38,139,6.95,132.05,已结算,2022/9/19 21:57,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.97,138.97,0,0,0,0,0.03,0,0,0,0,0.03,0.03,0,0,-6.95,0,0,0,0,0,0,
'4974026948627103298,'4974026948627103298,2022/9/3 18:36,69,3.45,65.55,已结算,2022/9/13 7:10,小店自卖,聚合账户,普通订单,'3568431661827946174,1,69,0,69,0,69,69,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.45,0,0,0,0,0,0,
'4974026471889489488,'4974026471889489488,2022/9/3 18:35,139,6.95,132.05,已结算,2022/9/19 21:57,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.98,138.98,0,0,0,0.02,0,0,0,0,0.02,0,0.02,0,0,-6.95,0,0,0,0,0,0,
'4974026540603284602,'4974026540603284602,2022/9/3 18:34,139,6.95,132.05,已结算,2022/9/25 1:36,鲁班广告,微信,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4974026540603284602,'4974026540603153530,2022/9/3 18:34,69,3.45,65.55,已结算,2022/9/25 1:37,小店自卖,微信,普通订单,'3568431661827946174,1,69,0,69,0,69,69,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.45,0,0,0,0,0,0,
'4974026428937061512,'4974026428937061512,2022/9/3 18:33,139,6.95,132.05,已结算,2022/9/19 1:07,鲁班广告,微信,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4974026072460031484,'4974026072460031484,2022/9/3 18:33,139,6.95,132.05,已结算,2022/9/19 21:57,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4974025995146505555,'4974025995146505555,2022/9/3 18:33,139,6.95,132.05,已结算,2022/9/19 21:57,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.92,138.92,0,0,0,0,0.08,0,0,0,0,0.08,0.08,0,0,-6.95,0,0,0,0,0,0,
'4974025694500822576,'4974025694500822576,2022/9/3 18:30,139,6.95,132.05,已结算,2022/9/17 2:10,小店自卖,微信,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4974024569217532980,'4974024569217532980,2022/9/3 18:28,139,6.95,132.05,已结算,2022/9/16 7:47,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4974024668001312381,'4974024668001312381,2022/9/3 18:28,139,6.95,132.05,已结算,2022/9/19 21:57,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.98,138.98,0,0,0,0.02,0,0,0,0,0.02,0,0.02,0,0,-6.95,0,0,0,0,0,0,
