订单号,子订单号,下单时间,订单收入(元),订单支出(元),订单净收益(元),结算状态,结算时间,业务类型,结算账户,订单类型,商品id,商品数量,订单总价(元),运费实付(元),商品总价(元),店铺券(元),订单实付(元),订单实付应结(元),平台补贴_运费(元),平台补贴(元),达人补贴(元),抖音支付补贴(元),抖音月付营销补贴(元),实际平台补贴_运费(元),实际平台补贴(元),实际达人补贴(元),实际抖音支付补贴(元),实际抖音月付营销补贴(元),实际补贴金额(元),订单退款(元),结算前退款(元),平台服务费(元),佣金(元),渠道分成(元),招商服务费(元),直播间站外推广(元),其他分成,退款扣佣金(元),备注
'4973286483398375027,'4973286483398375027,2022/9/1 18:45,139,6.95,132.05,已结算,2022/9/14 4:36,鲁班广告,微信,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973285465476703391,'4973285465476703391,2022/9/1 18:41,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973285018812218925,'4973285018812218925,2022/9/1 18:39,6.95,139,-132.05,已退款(原账户),2022/9/19 13:05,小店自卖,聚合账户,普通订单,'3568637652754402212,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-139,0,6.95,0,0,0,0,0,0,
'4973285018812218925,'4973285018812218925,2022/9/1 18:39,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973285448300414075,'4973285448300414075,2022/9/1 18:39,69,3.45,65.55,已结算,2022/9/18 18:17,小店自卖,聚合账户,普通订单,'3568431661827946174,1,69,0,69,0,68.92,68.92,0,0,0,0.08,0,0,0,0,0.08,0,0.08,0,0,-3.45,0,0,0,0,0,0,
'4973285023093645219,'4973285023093645219,2022/9/1 18:39,139,6.95,132.05,已结算,2022/9/14 4:36,小店自卖,微信,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973284494826989446,'4973284494826989446,2022/9/1 18:37,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.98,138.98,0,0,0,0.02,0,0,0,0,0.02,0,0.02,0,0,-6.95,0,0,0,0,0,0,
'4973284666615245863,'4973284666615245863,2022/9/1 18:37,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,137.9,137.9,0,0,0,1.1,0,0,0,0,1.1,0,1.1,0,0,-6.95,0,0,0,0,0,0,
'4973284894240646207,'4973284894240646207,2022/9/1 18:37,139,6.95,132.05,已结算,2022/9/14 1:25,小店自卖,微信,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973284739634280242,'4973284739634280242,2022/9/1 18:37,139,6.95,132.05,已结算,2022/9/11 18:11,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.98,138.98,0,0,0,0.02,0,0,0,0,0.02,0,0.02,0,0,-6.95,0,0,0,0,0,0,
'4973284653725185706,'4973284653725185706,2022/9/1 18:37,139,6.95,132.05,已结算,2022/10/4 18:18,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973284739628248187,'4973284739628248187,2022/9/1 18:37,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.92,138.92,0,0,0,0.08,0,0,0,0,0.08,0,0.08,0,0,-6.95,0,0,0,0,0,0,
'4973284705271536930,'4973284705271536930,2022/9/1 18:37,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.98,138.98,0,0,0,0.02,0,0,0,0,0.02,0,0.02,0,0,-6.95,0,0,0,0,0,0,
'4973283768963155396,'4973283768963155396,2022/9/1 18:33,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.96,138.96,0,0,0,0,0.04,0,0,0,0,0.04,0.04,0,0,-6.95,0,0,0,0,0,0,
'4973283013048595535,'4973283013048595535,2022/9/1 18:29,139,6.95,132.05,已结算,2022/9/13 21:28,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.98,138.98,0,0,0,0.02,0,0,0,0,0.02,0,0.02,0,0,-6.95,0,0,0,0,0,0,
'4973282665158090489,'4973282665158090489,2022/9/1 18:29,139,6.95,132.05,已结算,2022/9/11 22:10,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.92,138.92,0,0,0,0.08,0,0,0,0,0.08,0,0.08,0,0,-6.95,0,0,0,0,0,0,
'4973283227793376950,'4973283227793376950,2022/9/1 18:28,139,6.95,132.05,已结算,2022/9/14 4:29,小店自卖,微信,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973281685906988293,'4973281685906988293,2022/9/1 18:25,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973281776095538980,'4973281776095538980,2022/9/1 18:25,139,6.95,132.05,已结算,2022/9/20 18:46,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.97,138.97,0,0,0,0,0.03,0,0,0,0,0.03,0.03,0,0,-6.95,0,0,0,0,0,0,
'4973281853413482242,'4973281853413482242,2022/9/1 18:25,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.96,138.96,0,0,0,0,0.04,0,0,0,0,0.04,0.04,0,0,-6.95,0,0,0,0,0,0,
'4973280899924950021,'4973280899924950021,2022/9/1 18:24,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973280612165754237,'4973280612165754237,2022/9/1 18:22,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973280874158440108,'4973280874158440108,2022/9/1 18:22,139,6.95,132.05,已结算,2022/9/19 17:36,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973281183390784869,'4973281183390784869,2022/9/1 18:22,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.97,138.97,0,0,0,0,0.03,0,0,0,0,0.03,0.03,0,0,-6.95,0,0,0,0,0,0,
'4973280496206400638,'4973280496206400638,2022/9/1 18:22,139,6.95,132.05,已结算,2022/9/12 21:06,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973280715242347609,'4973280715242347609,2022/9/1 18:22,139,6.95,132.05,已结算,2022/9/14 18:41,鲁班广告,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973281453981451367,'4973281453981451367,2022/9/1 18:22,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973280788261484146,'4973280788261484146,2022/9/1 18:22,139,6.95,132.05,已结算,2022/9/13 21:28,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.98,138.98,0,0,0,0.02,0,0,0,0,0.02,0,0.02,0,0,-6.95,0,0,0,0,0,0,
'4973279173347938055,'4973279173347938055,2022/9/1 18:16,139,6.95,132.05,已结算,2022/9/19 17:36,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.98,138.98,0,0,0,0.02,0,0,0,0,0.02,0,0.02,0,0,-6.95,0,0,0,0,0,0,
'4973279199121225276,'4973279199121225276,2022/9/1 18:16,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,138.89,138.89,0,0,0,0.11,0,0,0,0,0.11,0,0.11,0,0,-6.95,0,0,0,0,0,0,
'4973278593540808237,'4973278593540808237,2022/9/1 18:15,139,6.95,132.05,已结算,2022/9/14 4:37,小店自卖,微信,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
'4973278705198616456,'4973278705198616456,2022/9/1 18:15,139,6.95,132.05,已结算,2022/9/14 18:41,小店自卖,聚合账户,普通订单,'3568637652754402212,1,139,0,139,0,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.95,0,0,0,0,0,0,
